location,seal_count,seal_type,closest_station_name,date,rainfall,maxt,mint,wdsp,eastings,northings,lat,long,county
Ballyheige,1,Grey,M.CUMMERAGH NO.1,17/08/2003,1.4,17.8,13.4,,69800,122500,52.3391,-9.91102,Kerry
Tralee Bay,11,Grey,INISHBOFIN,17/08/2003,1.4,17.8,13.4,,68200,110700,52.23273,-9.92987,Kerry
Dingle Bay,13,Harbour,INISHBOFIN,17/08/2003,1.4,17.8,13.4,,72000,110800,52.23453,-9.87432,Kerry
Kinvara,99,Harbour,KNOCKNAGOSHEL (Meinleitrim),15/08/2003,0,,,,136500,212700,53.16128,-8.95008,Galway
Ballysadare Bay,8,Grey,CORK AIRPORT,13/08/2003,0,18.3,13.8,,161100,332900,54.24352,-8.59742,Sligo
Ballysadare Bay,12,Grey,CORK AIRPORT,13/08/2003,0,18.3,13.8,,160800,332500,54.23991,-8.60197,Sligo
Ballysadare Bay,85,Harbour,CORK AIRPORT,13/08/2003,0,18.3,13.8,,161100,332900,54.24352,-8.59742,Sligo
Ballysadare Bay,35,Harbour,CORK AIRPORT,13/08/2003,0,18.3,13.8,,160800,332500,54.23991,-8.60197,Sligo
Ballysadare Bay,15,Harbour,CORK AIRPORT,13/08/2003,0,18.3,13.8,,160500,332500,54.23988,-8.60657,Sligo
Ballysadare Bay,26,Harbour,CORK AIRPORT,13/08/2003,0,18.3,13.8,,160300,333400,54.24795,-8.60976,Sligo
Ballysadare Bay,96,Harbour,CORK AIRPORT,13/08/2003,0,18.3,13.8,,161300,332200,54.23725,-8.59426,Sligo
Skelligs Bay,1,Grey,VENTRY THE BOAT SLIP,17/08/2003,8.5,,,,26900,61900,51.78317,-10.50918,Kerry
Outer Bay,1,Grey,CROLLY (Filter Works),13/08/2003,0,18.2,14.3,,184200,369100,54.56995,-8.24503,Donegal
River Erne,2,Harbour,DROMAHAIR (Market St.),13/08/2003,0,18.2,14.3,,183700,362100,54.50706,-8.25237,Donegal
Erris Hd,2,Grey,KILCLOONEY MORE,13/08/2003,0,,,,70200,341900,54.30936,-9.99501,Mayo
Erris Hd,2,Grey,FRENCHPARK CALLOW,13/08/2003,0,,,,67900,339100,54.28364,-10.02908,Mayo
Inishkeas,14,Grey,CORK AIRPORT,13/08/2003,0,,,,62200,331800,54.2166,-10.11319,Mayo
Inishkeas,10,Grey,KILCAR (Cronasillagh),13/08/2003,0,,,,61300,330700,54.20648,-10.12647,Mayo
North narrows,9,Grey,MALLOW (Hazelwood),14/08/2003,0,,,,75200,311100,54.03406,-9.90548,Mayo
North narrows,3,Grey,MALLOW (Hazelwood),14/08/2003,0,,,,75200,310800,54.03137,-9.90536,Mayo
Belmullet,5,Harbour,KILCAR (Cronasillagh),13/08/2003,0,,,,76200,331300,54.21568,-9.8985,Mayo
Belmullet,25,Harbour,CORK AIRPORT,13/08/2003,0,,,,75900,331800,54.22009,-9.9033,Mayo
Belmullet,17,Harbour,CORK AIRPORT,13/08/2003,0,,,,75800,331700,54.21917,-9.9048,Mayo
Blacksod,1,Harbour,SCARRIFF (Fossabeg),14/08/2003,0,,,,67100,327900,54.18288,-10.0364,Mayo
Belmullet,12,Harbour,SCARRIFF (Fossabeg),14/08/2003,0,,,,68700,328600,54.18957,-10.01222,Mayo
Belmullet,15,Harbour,SCARRIFF (Fossabeg),14/08/2003,0,,,,70200,328400,54.18816,-9.98917,Mayo
Belmullet,13,Harbour,SCARRIFF (Fossabeg),14/08/2003,0,,,,70500,328600,54.19003,-9.98466,Mayo
Benwee Hd,3,Grey,RITCHIES BAY,13/08/2003,0,17.8,12.5,,81200,344300,54.33359,-9.82706,Mayo
Benwee Hd,1,Grey,KILCLOONEY MORE,13/08/2003,0,17.8,12.5,,80300,343500,54.32619,-9.84056,Mayo
Benwee Hd,16,Grey,KILCLOONEY MORE,13/08/2003,0,17.8,12.5,,79900,343400,54.3252,-9.84667,Mayo
Cardy Rocks,2,Grey,BALLINEEN (Carbery),20/08/2003,0,,,,319800,265600,53.62668,-6.18998,Dublin
Cardy Rocks,9,Grey,BALLINEEN (Carbery),20/08/2003,0,,,,320500,266000,53.63011,-6.17925,Dublin
Cardy Rocks,30,Grey,BALLINEEN (Carbery),20/08/2003,0,,,,320400,266100,53.63103,-6.18073,Dublin
Cardy Rocks,6,Grey,BALLINEEN (Carbery),20/08/2003,0,,,,320400,266200,53.63193,-6.18069,Dublin
Inishbeg,1,Grey,SLIEVE BLOOM MTNS.(Nealstown),12/08/2003,0,,,,189700,439700,55.20427,-8.16252,Donegal
